"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"c48070f3061b086b60ff32f77e0002fa","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","prausnitzii"
"55e8fd9e2a3868ef69575fcb459fc7c5","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"6e57b32b545e72b802822e1554c70868","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"654bd3a0f2b6e57d15a2b223ea328d43","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"7a3090aa682623800304aca0da51c22c","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]","dolichum"
"c24e0e391aa836b5eae25567c7eb89ee","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","gnavus"
"794c48d1c110499dbd6338457f2ed417","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"b8041ad15220306186360a69682fdd33","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"2d591aa40f28f8952d22863270016317","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"2489471b3729e885a2c1ddaa10774d8e","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"0b23a9d70f3b82bf32e37faebf175975","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","[Eubacterium]","dolichum"
"3f9afe17105dd0c33bf41ce08824f362","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"efa231614a5eb97a385a5cae7b440348","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","indistinctus"
"d6aca1ce3a8896b5a4ac550a4108ddd9","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"f005c8c557afa9e8ed92a77753fc6770","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","g.[Ruminococcus]"
"e34528ad14c087b5097669c01925644b","Bacteria","Firmicutes","Clostridia","Clostridiales","o.Clostridiales","o.Clostridiales","o.Clostridiales"
"18765e2fa0cb8e8ca820d746a3a4f12b","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"c54ecd701d322d197b9000b235740969","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"452e8489334d0ba0cf7eeccea28f1364","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","g.[Ruminococcus]"
"f4cc6e4932f507b33d1335d801f54563","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","formicigenerans"
"671f56cb9e843dbbacd5e8646ae48b4a","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","g.Collinsella"
"fa3d2114cfb8f1e6185bb490a3548733","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","Paraprevotella","g.Paraprevotella"
"629f41c0de31ba20f5d2b3f4c69e09c1","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Eggerthella","lenta"
"6f980c6f3f2ffefd2013c721461cc1c6","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Holdemania","g.Holdemania"
"65990c74559e4adfaa672a884ad7d464","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","catus"
"d11290f5a8d806b455f66a2c7ca1cad1","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"24cccadb274fef1f88113e8f019e2a63","Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]","f.[Mogibacteriaceae]","f.[Mogibacteriaceae]"
"8be9dac75adfd36649c004c8b72de91d","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","g.Bacteroides"
"6afbda63b0750231cd586b402d745cd8","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"2c3ed27dcaae74227ccb28577447f3f4","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","g.Oscillospira"
"d56fd4c21346f6d694c7e638f6bdcb70","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"504efe2f63f610a0f92e8cd040e2f916","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"64171591970510b1ec87e97b71b6c1a5","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"d515ae0a0b58aa13869a5966a80c98a9","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"d2c11050eefbc04d86fe53803f311827","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","gnavus"
"9b6acfb0708fe91f75081d6801659932","Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]","f.[Mogibacteriaceae]","f.[Mogibacteriaceae]"
"6d2f0a10e36d7589233162bd8770c228","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Adlercreutzia","g.Adlercreutzia"
"33deb57a51743c338407d5c7e9b6f5fd","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","SMB53","g.SMB53"
"8ca0b9917d926bb6241ce6e23673fce4","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"945184b6386c192c0066e0a98a154780","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","f.Enterobacteriaceae","f.Enterobacteriaceae"
"889f033ba9c5bb9a721a2c7c84816ca6","Bacteria","Firmicutes","Clostridia","Clostridiales","[Mogibacteriaceae]","f.[Mogibacteriaceae]","f.[Mogibacteriaceae]"
"805c0959b90cd47bb52d9f6571c5fb6a","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","g.Oscillospira"
"6ba98911efd5b1fa1cbba9f869562cce","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus","g.Cloacibacillus"
"1a7a9d14747af9f14fcdabdef2549a77","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","g.Oscillospira"
"69a11f927915e2a3ba1f7b9c84486527","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella","g.Sutterella"
"cb7c9a82654d3ef267e1738cb0fe5569","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"4912cd4c1f9a773f88a73c258c25c825","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","g.Dorea"
"ea00763b3eff28e6e109d14cb2cff8d5","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerofilum","g.Anaerofilum"
"61d5a39133848c5eb8d89a9dfb8f18ea","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","g.Dorea"
"a63f65ad0f7a1ffc9e5ea828e95cdd6b","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"08d070e95350c4b1dcc905e734f59bf1","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","f.Christensenellaceae","f.Christensenellaceae"
"3b4cabf8962f05db11ca9e79fa492351","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Paraprevotellaceae]","Paraprevotella","g.Paraprevotella"
"d1a75593a480570277f05ec729b865de","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","gnavus"
"a248d70e41d75f4773ef7c94e831a21a","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","g.Dorea"
"33762f188eb5f7c4edb64ec15a01f6f0","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Adlercreutzia","g.Adlercreutzia"
"a1f4181dee4857eb9c37b1be03b3cbea","Bacteria","Firmicutes","Clostridia","Clostridiales","o.Clostridiales","o.Clostridiales","o.Clostridiales"
"3411caa9f175f114c8f2539511e85682","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","g.Oscillospira"
"748c5f14c648b743ad9e4b5ebfd761ff","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","g.Bacteroides"
"63bf1cd73165d97f3190397fb2cef8b9","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Holdemania","g.Holdemania"
"50c2e92f3b001c0f07a654b597605f95","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","g.Oscillospira"
"97a604f0b7677461325e10432ce78290","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"b204a17b1a7f29074d81303d5ca68464","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","g.Anaerotruncus"
"fb9b2e01165b968ed6df9c0f16231ebf","Bacteria","Bacteroidetes","p.Bacteroidetes","p.Bacteroidetes","p.Bacteroidetes","p.Bacteroidetes","p.Bacteroidetes"
"6d4fe16838ce84397bd418e10a2616d0","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus","g.Coprobacillus"
"b5c5a71372eea1709c1bff19a2f24272","Bacteria","Firmicutes","Clostridia","Clostridiales","o.Clostridiales","o.Clostridiales","o.Clostridiales"
"9f5eea39efd98c99eef7c1a14de416a2","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"6d914a702d3c71527cfb3484a6317810","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Butyricimonas","g.Butyricimonas"
"1d49df56b83a383d8b998af9d148f52c","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","f.Clostridiaceae","f.Clostridiaceae"
"d76689ee901c3b8219aedbe9508f46ed","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","f.Rikenellaceae","f.Rikenellaceae"
"69310a7cff9f6b902cdfd08243784ace","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"ff376ce6067337dd934fdebe0a3cf2eb","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"1a78539b37f0546f2a1643da51ce7636","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","g.Coprococcus"
"a07dbd6b81597b810de81ac0ad6caf26","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"fee421dd182111e1d718ac10decab1e9","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","f.Rikenellaceae","f.Rikenellaceae"
"52573485a4521e007e4c5217fc5d7c68","Bacteria","Firmicutes","Clostridia","Clostridiales","o.Clostridiales","o.Clostridiales","o.Clostridiales"
"a333ee090a52b582e1a0e2dd776eb937","Bacteria","Firmicutes","Erysipelotrichi","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus","g.Coprobacillus"
"0e2573348777e55615736ca01785b7b4","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"a72bc4bbcb65e31aac628de5b9a9b0af","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","f.Christensenellaceae","f.Christensenellaceae"
"a6d3beca765c1e2453b658614facf89f","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"5e581b06024ab980e25ee550e0b97247","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella","g.Christensenella"
"420f96256387d77de17ec28d160bb147","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"7c3d7711fd15460714ece118b35c0576","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","g.Anaerotruncus"
"d4454a4ebd63a8e375dadd2632588f59","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"a18c0c17fce3d52dc60506e8730bc996","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"7261cbb86534c4057d6fe54bc4232846","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","[Odoribacteraceae]","Butyricimonas","g.Butyricimonas"
"3120660c883750285d85c12f7d898f67","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","g.Oscillospira"
"4d334598e144b1d31c0b92a301b5cc68","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"d23bbe506e4ded19e9dd017b65275bab","Bacteria","Firmicutes","Clostridia","Clostridiales","o.Clostridiales","o.Clostridiales","o.Clostridiales"
"2a8aea91e4fcf825e2983d6f8e66436d","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"ab1e4aeddde9eb4e80144c135051d941","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Anaerofustis","g.Anaerofustis"
"7522d19b6cd971311b76b4c2345ffa71","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","g.Dorea"
"ef1243f7818d1e35c1e968e8539173cf","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","g.Anaerotruncus"
"1eaa3cb7baaac3220b0606e3621afd16","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","f.Rikenellaceae","f.Rikenellaceae"
"0aefb8063eaab894e5c4aa6ed1ece00c","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"3ca67f6b4d1581754c805ed5cc9d9093","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","g.Coprococcus"
"c3f21101b8845fd1c974cb14578fb119","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","f.Christensenellaceae","f.Christensenellaceae"
"c01a639562ba5a6915144b57bbb174f9","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","g.Blautia"
"f94b14e11dfe405e48976839ca380380","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"1a9df3fbbc7fc8cecec4239cf801d2fc","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","g.Clostridium"
"59fde92361d7af5a12b89009cc1665c3","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"6d23b1a911e94074b127424a8fb2d5ad","Bacteria","Firmicutes","Clostridia","Clostridiales","o.Clostridiales","o.Clostridiales","o.Clostridiales"
"9d583502f595e3a521989b645d50e327","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","f.Rikenellaceae","f.Rikenellaceae"
"82ce7d6661100567e07fb6a2f2b5159e","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"3dbcafdc23cc47523d7200d7bd4cccab","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"bff072be6820bb768214374ffe47a137","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Anaerofustis","g.Anaerofustis"
"60614520ce7378162013d9e6054a37ef","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"3a4a246cdaf2ee7e109536faef354a46","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","g.Oscillospira"
"93eeda5f66219d13caae77ea84f66a15","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","g.Coprococcus"
"9e18b43f389956ba5ac3ddf810f39cb6","Bacteria","Firmicutes","Clostridia","Clostridiales","o.Clostridiales","o.Clostridiales","o.Clostridiales"
"596db8ce20ae5cbfdc338a62f1bed1d9","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"fc64ee80d1949441d9b05760efc8618d","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"de1e58dc4b4839c49dc701d8d7592a93","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","[Ruminococcus]","g.[Ruminococcus]"
"21401b105dc53b367b8fdc0ec97a9f02","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella","g.Sutterella"
"b07af5f863fb0c1c6672a4b4980faa2d","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"71c741557b65664b0cb572fce880dce2","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","f.Christensenellaceae","f.Christensenellaceae"
"4a4230232fbfa3b8cfd2cae77dc6feac","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","f.Coriobacteriaceae","f.Coriobacteriaceae"
"ac603e12c4b975609374395b148a0a79","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Dorea","g.Dorea"
"36c3c3e931ebb36c143c46739b848668","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","g.Coprococcus"
"7b25fe2a8e4d57a05ef403d1d0e831e2","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira","g.Oscillospira"
"8c8a105de3169d2d55fcb9cfc2f52cf9","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","g.Coprococcus"
"504b29d7282c288d06f7f26759d3fac9","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"42764707c5f0400036ee8777610a35c1","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","f.Lachnospiraceae","f.Lachnospiraceae"
"03b10adc566e93d23372c71edcf48b34","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"acad20cba7e5605d347ce9d6c0f58a34","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"a7e28b3f4879359a929a0da8c8557757","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","f.Christensenellaceae","f.Christensenellaceae"
"8df31d859e0a5446b30ca0cd81ce907f","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","g.Ruminococcus"
"ad71b192343facecd54843bccb0470da","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","f.Coriobacteriaceae","f.Coriobacteriaceae"
"c75b645c7673bfba5d403aefe379c885","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","f.Ruminococcaceae","f.Ruminococcaceae"
"4cdc5b820b31c7b2c0720f917d9cd3f7","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","f.Christensenellaceae","f.Christensenellaceae"
